city,latitude,longitude,timestamp,temperature,humidity,wind_speed,precipitation,pressure,cloud_cover
Boston,42.36,-71.06,2025-10-13T00:00,56.3,91,26.9,0.6,1022.0,100
Boston,42.36,-71.06,2025-10-13T01:00,56.0,91,21.9,1.3,1022.2,100
Boston,42.36,-71.06,2025-10-13T02:00,55.6,92,24.0,2.5,1022.1,100
Boston,42.36,-71.06,2025-10-13T03:00,54.8,93,27.3,0.2,1021.7,100
Boston,42.36,-71.06,2025-10-13T04:00,54.3,91,28.8,0.8,1020.9,100
Boston,42.36,-71.06,2025-10-13T05:00,54.4,90,28.9,0.8,1020.4,100
Boston,42.36,-71.06,2025-10-13T06:00,54.3,87,27.0,0.6,1020.2,100
Boston,42.36,-71.06,2025-10-13T07:00,54.2,86,25.8,0.9,1019.6,100
Boston,42.36,-71.06,2025-10-13T08:00,54.4,90,25.9,0.6,1019.9,100
Boston,42.36,-71.06,2025-10-13T09:00,54.7,91,26.3,1.3,1019.8,100
Boston,42.36,-71.06,2025-10-13T10:00,54.7,90,26.9,0.8,1020.0,100
Boston,42.36,-71.06,2025-10-13T11:00,53.9,91,28.5,0.8,1020.3,100
Boston,42.36,-71.06,2025-10-13T12:00,53.8,89,29.6,0.0,1020.7,100
Boston,42.36,-71.06,2025-10-13T13:00,53.5,89,26.2,0.1,1020.8,100
Boston,42.36,-71.06,2025-10-13T14:00,53.5,92,27.3,0.2,1020.9,100
Boston,42.36,-71.06,2025-10-13T15:00,53.4,90,27.4,0.2,1020.8,100
Boston,42.36,-71.06,2025-10-13T16:00,53.1,94,26.4,0.3,1020.7,100
Boston,42.36,-71.06,2025-10-13T17:00,53.1,92,29.2,0.7,1020.3,100
Boston,42.36,-71.06,2025-10-13T18:00,52.9,94,28.0,0.9,1020.2,100
Boston,42.36,-71.06,2025-10-13T19:00,53.2,97,30.0,0.7,1019.9,100
Boston,42.36,-71.06,2025-10-13T20:00,53.5,96,26.4,0.3,1020.1,100
Boston,42.36,-71.06,2025-10-13T21:00,53.0,96,26.7,0.6,1020.0,100
Boston,42.36,-71.06,2025-10-13T22:00,53.4,95,22.6,0.1,1020.1,100
Boston,42.36,-71.06,2025-10-13T23:00,53.2,93,24.7,0.1,1020.2,100
Boston,42.36,-71.06,2025-10-14T00:00,52.9,94,24.7,0.0,1020.1,100
Boston,42.36,-71.06,2025-10-14T01:00,52.2,93,18.7,0.0,1020.4,100
Boston,42.36,-71.06,2025-10-14T02:00,52.8,95,22.1,0.3,1020.6,100
Boston,42.36,-71.06,2025-10-14T03:00,52.7,91,16.6,0.3,1020.3,100
Boston,42.36,-71.06,2025-10-14T04:00,52.1,93,17.7,0.0,1019.8,100
Boston,42.36,-71.06,2025-10-14T05:00,52.8,93,19.1,0.0,1019.4,100
Boston,42.36,-71.06,2025-10-14T06:00,52.1,91,17.3,0.0,1019.2,100
Boston,42.36,-71.06,2025-10-14T07:00,52.9,93,21.2,0.0,1018.5,100
Boston,42.36,-71.06,2025-10-14T08:00,53.3,92,16.6,0.0,1018.2,100
Boston,42.36,-71.06,2025-10-14T09:00,53.2,92,15.1,0.0,1018.3,100
Boston,42.36,-71.06,2025-10-14T10:00,52.8,92,17.7,1.7,1018.0,100
Boston,42.36,-71.06,2025-10-14T11:00,52.3,92,17.1,0.2,1018.1,100
Boston,42.36,-71.06,2025-10-14T12:00,52.0,97,17.7,0.0,1018.6,100
Boston,42.36,-71.06,2025-10-14T13:00,51.9,96,17.3,0.0,1018.6,100
Boston,42.36,-71.06,2025-10-14T14:00,52.1,98,15.5,0.0,1019.0,100
Boston,42.36,-71.06,2025-10-14T15:00,52.8,94,15.2,0.0,1018.8,100
Boston,42.36,-71.06,2025-10-14T16:00,55.0,93,17.8,0.0,1018.4,100
Boston,42.36,-71.06,2025-10-14T17:00,55.8,89,18.0,0.0,1017.5,100
Boston,42.36,-71.06,2025-10-14T18:00,56.2,87,17.3,0.0,1017.4,100
Boston,42.36,-71.06,2025-10-14T19:00,55.4,95,14.8,0.0,1017.4,100
Boston,42.36,-71.06,2025-10-14T20:00,55.8,94,15.5,0.0,1017.2,100
Boston,42.36,-71.06,2025-10-14T21:00,55.5,89,10.1,0.0,1017.3,100
Boston,42.36,-71.06,2025-10-14T22:00,54.0,88,9.2,0.0,1017.4,100
Boston,42.36,-71.06,2025-10-14T23:00,52.8,87,2.4,0.0,1017.5,100
Boston,42.36,-71.06,2025-10-15T00:00,53.8,88,5.4,0.0,1017.7,100
Boston,42.36,-71.06,2025-10-15T01:00,53.3,91,4.7,0.0,1017.7,100
Boston,42.36,-71.06,2025-10-15T02:00,53.5,95,4.1,0.0,1016.9,100
Boston,42.36,-71.06,2025-10-15T03:00,53.7,92,5.7,0.0,1016.6,100
Boston,42.36,-71.06,2025-10-15T04:00,53.7,97,2.9,0.0,1016.4,100
Boston,42.36,-71.06,2025-10-15T05:00,53.6,96,2.3,0.0,1016.1,100
Boston,42.36,-71.06,2025-10-15T06:00,53.4,97,4.1,0.0,1015.6,100
Boston,42.36,-71.06,2025-10-15T07:00,53.0,99,3.7,0.0,1014.8,100
Boston,42.36,-71.06,2025-10-15T08:00,53.6,96,2.9,0.0,1014.2,100
Boston,42.36,-71.06,2025-10-15T09:00,52.8,96,4.4,0.0,1013.8,58
Boston,42.36,-71.06,2025-10-15T10:00,51.7,98,4.0,0.0,1013.6,68
Boston,42.36,-71.06,2025-10-15T11:00,50.3,91,4.8,0.0,1013.2,89
Boston,42.36,-71.06,2025-10-15T12:00,51.1,89,7.2,0.0,1013.6,65
Boston,42.36,-71.06,2025-10-15T13:00,54.5,88,10.9,0.0,1013.4,3
Boston,42.36,-71.06,2025-10-15T14:00,57.3,86,16.0,0.0,1013.3,64
Boston,42.36,-71.06,2025-10-15T15:00,59.7,80,17.8,0.0,1012.9,66
Boston,42.36,-71.06,2025-10-15T16:00,61.8,68,19.4,0.0,1012.4,12
Boston,42.36,-71.06,2025-10-15T17:00,61.9,66,20.0,0.0,1011.6,26
Boston,42.36,-71.06,2025-10-15T18:00,61.1,56,19.2,0.0,1011.0,99
Boston,42.36,-71.06,2025-10-15T19:00,59.6,58,21.3,0.0,1011.0,56
Boston,42.36,-71.06,2025-10-15T20:00,57.5,49,19.7,0.0,1011.3,58
Boston,42.36,-71.06,2025-10-15T21:00,54.8,51,16.1,0.0,1011.7,0
Boston,42.36,-71.06,2025-10-15T22:00,51.6,52,14.8,0.0,1012.3,20
Boston,42.36,-71.06,2025-10-15T23:00,49.2,57,9.0,0.0,1012.7,2
Boston,42.36,-71.06,2025-10-16T00:00,47.3,63,9.0,0.0,1012.9,3
Boston,42.36,-71.06,2025-10-16T01:00,46.5,61,8.9,0.0,1013.1,66
Boston,42.36,-71.06,2025-10-16T02:00,45.3,69,6.8,0.0,1013.1,30
Boston,42.36,-71.06,2025-10-16T03:00,45.8,68,8.2,0.0,1012.8,100
Boston,42.36,-71.06,2025-10-16T04:00,46.3,66,8.6,0.0,1012.4,100
Boston,42.36,-71.06,2025-10-16T05:00,45.5,69,9.8,0.0,1011.9,0
Boston,42.36,-71.06,2025-10-16T06:00,44.5,67,11.2,0.0,1011.9,0
Boston,42.36,-71.06,2025-10-16T07:00,44.1,67,13.6,0.0,1011.4,0
Boston,42.36,-71.06,2025-10-16T08:00,42.9,73,13.8,0.0,1011.2,0
Boston,42.36,-71.06,2025-10-16T09:00,42.5,72,13.0,0.0,1011.2,0
Boston,42.36,-71.06,2025-10-16T10:00,41.8,72,10.0,0.0,1010.9,27
Boston,42.36,-71.06,2025-10-16T11:00,40.8,74,12.6,0.0,1010.7,0
Boston,42.36,-71.06,2025-10-16T12:00,42.3,73,16.6,0.0,1010.9,0
Boston,42.36,-71.06,2025-10-16T13:00,45.3,65,20.7,0.0,1010.9,0
Boston,42.36,-71.06,2025-10-16T14:00,47.8,61,21.9,0.0,1010.7,0
Boston,42.36,-71.06,2025-10-16T15:00,50.1,58,23.8,0.0,1010.4,77
Boston,42.36,-71.06,2025-10-16T16:00,51.9,50,23.1,0.0,1010.2,0
Boston,42.36,-71.06,2025-10-16T17:00,53.8,45,23.9,0.0,1009.5,50
Boston,42.36,-71.06,2025-10-16T18:00,55.2,44,23.8,0.0,1009.2,28
Boston,42.36,-71.06,2025-10-16T19:00,55.0,42,25.3,0.0,1009.2,30
Boston,42.36,-71.06,2025-10-16T20:00,54.5,43,23.7,0.0,1009.3,9
Boston,42.36,-71.06,2025-10-16T21:00,53.4,47,23.8,0.0,1009.7,62
Boston,42.36,-71.06,2025-10-16T22:00,50.6,49,18.7,0.0,1010.5,26
Boston,42.36,-71.06,2025-10-16T23:00,50.5,49,17.3,0.0,1011.3,85
Boston,42.36,-71.06,2025-10-17T00:00,48.7,51,15.8,0.0,1011.8,79
Boston,42.36,-71.06,2025-10-17T01:00,49.4,54,16.6,0.0,1012.0,99
Boston,42.36,-71.06,2025-10-17T02:00,47.2,60,15.8,0.0,1011.9,6
Boston,42.36,-71.06,2025-10-17T03:00,46.7,59,14.3,0.0,1011.6,20
Boston,42.36,-71.06,2025-10-17T04:00,45.9,62,12.0,0.0,1011.5,0
Boston,42.36,-71.06,2025-10-17T05:00,44.4,69,9.9,0.0,1011.3,6
Boston,42.36,-71.06,2025-10-17T06:00,45.0,68,10.2,0.0,1011.6,0
Boston,42.36,-71.06,2025-10-17T07:00,43.7,68,14.3,0.0,1011.7,4
Boston,42.36,-71.06,2025-10-17T08:00,44.2,69,11.8,0.0,1012.1,3
Boston,42.36,-71.06,2025-10-17T09:00,43.7,69,12.2,0.0,1012.6,0
Boston,42.36,-71.06,2025-10-17T10:00,42.9,73,8.9,0.0,1013.0,0
Boston,42.36,-71.06,2025-10-17T11:00,42.2,75,10.7,0.0,1013.7,0
Boston,42.36,-71.06,2025-10-17T12:00,43.2,80,9.4,0.0,1014.0,0
Boston,42.36,-71.06,2025-10-17T13:00,47.7,70,12.0,0.0,1013.9,2
Boston,42.36,-71.06,2025-10-17T14:00,51.2,65,16.5,0.0,1014.0,1
Boston,42.36,-71.06,2025-10-17T15:00,54.6,58,14.0,0.0,1013.9,3
Boston,42.36,-71.06,2025-10-17T16:00,57.6,53,15.5,0.0,1013.9,4
Boston,42.36,-71.06,2025-10-17T17:00,59.5,50,13.4,0.0,1013.0,1
Boston,42.36,-71.06,2025-10-17T18:00,61.7,44,13.9,0.0,1012.5,4
Boston,42.36,-71.06,2025-10-17T19:00,62.0,46,10.9,0.0,1012.2,5
Boston,42.36,-71.06,2025-10-17T20:00,61.8,46,8.0,0.0,1011.8,5
Boston,42.36,-71.06,2025-10-17T21:00,58.0,65,9.3,0.0,1011.8,2
Boston,42.36,-71.06,2025-10-17T22:00,54.2,72,4.0,0.0,1012.1,0
Boston,42.36,-71.06,2025-10-17T23:00,51.4,80,6.6,0.0,1012.5,0
Boston,42.36,-71.06,2025-10-18T00:00,49.8,81,6.8,0.0,1013.0,1
Boston,42.36,-71.06,2025-10-18T01:00,47.8,86,7.0,0.0,1013.4,1
Boston,42.36,-71.06,2025-10-18T02:00,46.3,89,4.7,0.0,1013.5,4
Boston,42.36,-71.06,2025-10-18T03:00,45.3,87,1.5,0.0,1013.5,1
Boston,42.36,-71.06,2025-10-18T04:00,44.5,84,3.5,0.0,1013.6,0
Boston,42.36,-71.06,2025-10-18T05:00,43.2,85,3.5,0.0,1013.9,1
Boston,42.36,-71.06,2025-10-18T06:00,42.1,85,3.4,0.0,1014.1,0
Boston,42.36,-71.06,2025-10-18T07:00,41.3,87,3.4,0.0,1013.9,2
Boston,42.36,-71.06,2025-10-18T08:00,40.1,91,4.0,0.0,1014.3,1
Boston,42.36,-71.06,2025-10-18T09:00,39.4,88,4.0,0.0,1014.8,3
Boston,42.36,-71.06,2025-10-18T10:00,39.0,84,4.3,0.0,1015.2,2
Boston,42.36,-71.06,2025-10-18T11:00,38.5,86,5.2,0.0,1015.5,1
Boston,42.36,-71.06,2025-10-18T12:00,40.5,89,4.5,0.0,1016.0,1
Boston,42.36,-71.06,2025-10-18T13:00,46.4,83,3.3,0.0,1016.8,10
Boston,42.36,-71.06,2025-10-18T14:00,51.6,76,2.3,0.0,1016.8,16
Boston,42.36,-71.06,2025-10-18T15:00,55.9,66,3.0,0.0,1017.0,11
Boston,42.36,-71.06,2025-10-18T16:00,58.2,62,1.9,0.0,1016.8,11
Boston,42.36,-71.06,2025-10-18T17:00,60.6,56,4.0,0.0,1016.3,4
Boston,42.36,-71.06,2025-10-18T18:00,60.0,60,12.8,0.0,1015.5,5
Boston,42.36,-71.06,2025-10-18T19:00,61.3,53,9.2,0.0,1015.4,3
Boston,42.36,-71.06,2025-10-18T20:00,60.1,55,10.5,0.0,1015.4,3
Boston,42.36,-71.06,2025-10-18T21:00,56.4,70,11.9,0.0,1015.6,0
Boston,42.36,-71.06,2025-10-18T22:00,54.1,71,5.9,0.0,1015.9,2
Boston,42.36,-71.06,2025-10-18T23:00,52.1,76,6.5,0.0,1016.3,7
Boston,42.36,-71.06,2025-10-19T00:00,51.1,79,5.9,0.0,1016.5,14
Boston,42.36,-71.06,2025-10-19T01:00,49.0,85,5.8,0.0,1016.6,5
Boston,42.36,-71.06,2025-10-19T02:00,48.8,82,5.4,0.0,1016.8,0
Boston,42.36,-71.06,2025-10-19T03:00,47.2,86,2.8,0.0,1017.2,3
Boston,42.36,-71.06,2025-10-19T04:00,46.8,84,1.3,0.0,1017.4,5
Boston,42.36,-71.06,2025-10-19T05:00,46.5,86,2.2,0.0,1017.8,12
Boston,42.36,-71.06,2025-10-19T06:00,45.6,86,2.9,0.0,1017.5,10
Boston,42.36,-71.06,2025-10-19T07:00,45.3,84,6.5,0.0,1017.1,7
Boston,42.36,-71.06,2025-10-19T08:00,44.8,83,6.5,0.0,1017.0,4
